Title,Budget,Gross US & Canada,Opening_Week_Rev,Opening_Week_Date,Gross worldwide,Runtime,Sound mix,Aspect ratio,Color
The Shawshank Redemption,"$25,000,000 ","$28,767,189 ",727327,9/25/1994,"$29,330,268 ",2 hours 22 minutes,Dolby Digital,1.85 : 1,
The Godfather,"$6,000,000 ","$136,381,073 ",302393,3/19/1972,"$250,342,030 ",2 hours 55 minutes,"Mono(RCA Sound Recording, original release)Dolby Digital",1.85 : 1,Color
The Dark Knight,"$185,000,000 ","$534,987,076 ",158411483,7/20/2008,"$1,008,497,140 ",2 hours 32 minutes,Dolby DigitalSDDSDTS,2.39 : 1,Color
The Godfather Part II,"$13,000,000 ","$47,834,595 ",171417,11/10/2019,"$47,962,897 ",3 hours 22 minutes,Dolby Digital,1.85 : 1,Color
Angry Men,"$350,000 ",,0,1/1/1900,"$2,667 ",1 hour 36 minutes,Mono,1.85 : 1,Black and White
Schindler's List,"$22,000,000 ","$96,898,818 ",656636,12/19/1993,"$322,161,245 ",3 hours 15 minutes,DTSDTS-Stereo,1.85 : 1,Black and WhiteColor
The Lord of the Rings: The Return of the King,"$94,000,000 ","$381,208,944 ",72629713,12/21/2003,"$1,150,787,673 ",3 hours 21 minutes,DTS-ESDolby Digital EXSDDSDolby Atmos,2.39 : 1,Color
Pulp Fiction,"$8,000,000 ","$107,928,762 ",9311882,10/16/1994,"$213,928,762 ",2 hours 34 minutes,Dolby DigitalDTS,2.39 : 1,Color
The Lord of the Rings: The Fellowship of the Ring,"$93,000,000 ","$319,205,075 ",47211490,12/23/2001,"$887,184,080 ",2 hours 58 minutes,DTSSDDS,2.39 : 1,Color
"The Good, the Bad and the Ugly","$1,200,000 ","$25,100,000 ",0,1/1/1900,"$25,259,657 ",2 hours 58 minutes,Mono,2.35 : 1,Color
Forrest Gump,"$55,000,000 ","$330,455,270 ",24450602,7/10/1994,"$678,226,465 ",2 hours 22 minutes,Dolby SRSDDSDolby Atmos,2.39 : 1,ColorBlack and White
The Lord of the Rings: The Two Towers,"$94,000,000 ","$345,372,040 ",62007528,12/22/2002,"$951,403,754 ",2 hours 59 minutes,DTS-ESDolby Digital EXSDDSDolby Atmos,2.39 : 1,Color
Fight Club,"$63,000,000 ","$37,030,102 ",11035485,10/17/1999,"$101,320,107 ",2 hours 19 minutes,Dolby Digital,2.39 : 1,Color
Inception,"$160,000,000 ","$292,587,330 ",62785337,7/18/2010,"$839,030,630 ",2 hours 28 minutes,Dolby DigitalDTSSDDS,2.39 : 1,Color
Star Wars: Episode V - The Empire Strikes Back,"$18,000,000 ","$292,753,960 ",4910483,5/25/1980,"$538,375,067 ",2 hours 4 minutes,,2.39 : 1,Color
The Matrix,"$63,000,000 ","$172,076,928 ",27788331,4/4/1999,"$467,683,490 ",2 hours 16 minutes,Dolby DigitalSDDSDolby Atmos,2.39 : 1,Color
Goodfellas,"$25,000,000 ","$46,909,721 ",6368901,9/23/1990,"$47,049,784 ",2 hours 25 minutes,Dolby SR,1.85 : 1,Color
One Flew Over the Cuckoo's Nest,"$3,000,000 ","$108,981,275 ",0,1/1/1900,"$109,115,366 ",2 hours 13 minutes,Mono,1.85 : 1,Color
Seen,"$33,000,000 ","$100,125,643 ",13949807,9/24/1995,"$327,333,559 ",2 hours 7 minutes,DTSDolby DigitalDTS 70 mm,2.39 : 1,Color
Interstellar,"$165,000,000 ","$188,020,017 ",47510360,11/9/2014,"$705,191,242 ",2 hours 49 minutes,DatasatDolby DigitalIMAX 6-TrackDolby Surround 7.1,2.39 : 1,Color
It's a Wonderful Life,"$3,180,000 ","$1,483,643 ",44000,12/20/2020,"$9,767,242 ",2 hours 10 minutes,,1.37 : 1,Black and White
Seven Samurai,"¥125,000,000","$318,649 ",15942,7/28/2002,"$346,258 ",3 hours 27 minutes,Mono,1.37 : 1,Black and White
The Silence of the Lambs,"$19,000,000 ","$130,742,922 ",13766814,2/18/1991,"$272,742,922 ",1 hour 58 minutes,Dolby SRDolby Stereo,1.85 : 1,Color
Saving Private Ryan,"$70,000,000 ","$217,049,603 ",30576104,7/26/1998,"$482,351,251 ",2 hours 49 minutes,DTSDolby DigitalSDDSDolby AtmosDolby Digital EXDolby Stereo,1.85 : 1,Color
City of God,"R$3,300,000","$7,564,459 ",88292,1/19/2003,"$30,680,793 ",2 hours 10 minutes,Dolby DigitalSDDS,1.85 : 1,Color
Life Is Beautiful,"$20,000,000 ","$57,563,264 ",118920,10/25/1998,"$230,099,013 ",1 hour 56 minutes,Dolby Digital,1.85 : 1,Color
The Green Mile,"$60,000,000 ","$136,801,374 ",18017152,12/12/1999,"$286,801,374 ",3 hours 9 minutes,DTSDolby DigitalSDDS,1.85 : 1,Color
Terminator : Judgment Day,"$102,000,000 ","$205,881,154 ",31765506,7/7/1991,"$520,881,154 ",2 hours 17 minutes,,2.39 : 1,
